Date,Team,H/A,Opponent,win_loss_result,Runs,Runs Allowed,Game Time,Day/Night,Attendance,Game Number,Year
2015-04-06,ARI,H,SFG,L,4,5,3:18,N,"49,043",1,2015
2015-04-07,ARI,H,SFG,W,7,6,3:10,N,"22,626",2,2015
2015-04-08,ARI,H,SFG,L,2,5,3:08,N,"21,642",3,2015
2015-04-10,ARI,H,LAD,W-wo,4,3,3:01,N,"27,404",4,2015
2015-04-11,ARI,H,LAD,W,6,0,2:36,N,"37,636",5,2015
2015-04-12,ARI,H,LAD,L,4,7,3:27,D,"29,678",6,2015
2015-04-13,ARI,A,SDP,W,8,4,3:02,N,"19,538",7,2015
2015-04-14,ARI,A,SDP,L,1,5,2:31,N,"20,102",8,2015
2015-04-15,ARI,A,SDP,L,2,3,2:41,N,"23,104",9,2015
2015-04-16,ARI,A,SFG,W,7,6,4:20,N,"41,545",10,2015
2015-04-17,ARI,A,SFG,W,9,0,3:00,N,"41,550",11,2015
2015-04-18,ARI,A,SFG,L,1,4,2:38,N,"41,756",12,2015
2015-04-19,ARI,A,SFG,W,5,1,2:45,D,"41,528",13,2015
2015-04-21,ARI,H,TEX,L,1,7,3:04,N,"18,345",14,2015
2015-04-22,ARI,H,TEX,W,8,5,2:59,N,"17,886",15,2015
2015-04-24,ARI,H,PIT,L,1,4,2:41,N,"24,427",16,2015
2015-04-25,ARI,H,PIT,L,1,2,2:52,N,"38,859",17,2015
2015-04-26,ARI,H,PIT,L,0,8,3:18,D,"32,353",18,2015
2015-04-27,ARI,H,COL,L,4,5,3:29,N,"17,444",19,2015
2015-04-28,ARI,H,COL,W,12,5,3:10,N,"18,792",20,2015
2015-04-29,ARI,H,COL,W,9,1,2:34,N,"19,633",21,2015
2015-05-01,ARI,A,LAD,L,0,8,2:47,N,"50,164",22,2015
2015-05-02,ARI,A,LAD,L,4,6,3:14,N,"43,617",23,2015
2015-05-03,ARI,A,LAD,L-wo,0,1,4:02,D,"48,136",24,2015
2015-05-06,ARI,A,COL,W,13,7,3:29,D,,25,2015
2015-05-06,ARI,A,COL,W,5,1,2:31,N,"22,621",26,2015
2015-05-07,ARI,H,SDP,W,11,0,2:52,N,"16,929",27,2015
2015-05-08,ARI,H,SDP,L,5,6,3:26,N,"28,677",28,2015
2015-05-09,ARI,H,SDP,L,4,6,4:17,N,"27,340",29,2015
2015-05-10,ARI,H,SDP,W,2,1,2:47,D,"24,881",30,2015
2015-05-11,ARI,H,WSN,L,1,11,2:42,N,"16,406",31,2015
2015-05-12,ARI,H,WSN,W,14,6,2:59,N,"19,053",32,2015
2015-05-13,ARI,H,WSN,L,6,9,3:38,D,"19,026",33,2015
2015-05-15,ARI,A,PHI,L,3,4,3:05,N,"21,383",34,2015
2015-05-16,ARI,A,PHI,L,5,7,3:14,N,"33,649",35,2015
2015-05-17,ARI,A,PHI,L,0,6,2:52,D,"22,123",36,2015
2015-05-18,ARI,A,MIA,W,3,2,3:11,N,"17,526",37,2015
2015-05-19,ARI,A,MIA,W,4,2,2:46,N,"16,034",38,2015
2015-05-20,ARI,A,MIA,W,6,1,2:36,N,"17,158",39,2015
2015-05-21,ARI,A,MIA,W,7,6,3:02,D,"20,692",40,2015
2015-05-22,ARI,H,CHC,W-wo,5,4,4:27,N,"34,498",41,2015
2015-05-23,ARI,H,CHC,L,6,9,3:14,N,"30,502",42,2015
2015-05-24,ARI,H,CHC,W,4,3,2:31,D,"39,660",43,2015
2015-05-25,ARI,A,STL,L-wo,2,3,3:24,D,"42,853",44,2015
2015-05-26,ARI,A,STL,L,4,6,2:51,N,"41,107",45,2015
2015-05-27,ARI,A,STL,L-wo,3,4,3:19,N,"43,715",46,2015
2015-05-29,ARI,A,MIL,W,7,5,3:23,N,"34,276",47,2015
2015-05-30,ARI,A,MIL,W,7,3,2:58,D,"39,552",48,2015
2015-05-31,ARI,A,MIL,L-wo,6,7,5:49,D,"32,460",49,2015
2015-06-01,ARI,H,ATL,L,1,8,2:45,N,"18,258",50,2015
2015-06-02,ARI,H,ATL,W,7,6,3:18,N,"17,101",51,2015
2015-06-03,ARI,H,ATL,W,9,8,3:17,D,"17,717",52,2015
2015-06-04,ARI,H,NYM,L,2,6,3:22,N,"18,954",53,2015
2015-06-05,ARI,H,NYM,W,7,2,2:49,N,"24,332",54,2015
2015-06-06,ARI,H,NYM,W,2,1,2:40,N,"30,265",55,2015
2015-06-07,ARI,H,NYM,L,3,6,2:44,D,"31,575",56,2015
2015-06-08,ARI,A,LAD,L,3,9,2:42,N,"42,167",57,2015
2015-06-09,ARI,A,LAD,L,1,3,2:32,N,"37,738",58,2015
2015-06-10,ARI,A,LAD,L-wo,6,7,3:35,N,"47,174",59,2015
2015-06-12,ARI,A,SFG,W,1,0,2:52,N,"41,952",60,2015
2015-06-13,ARI,A,SFG,W,4,2,2:50,D,"42,006",61,2015
2015-06-14,ARI,A,SFG,W,4,0,2:51,D,"41,310",62,2015
2015-06-15,ARI,A,LAA,W,7,3,2:58,N,"35,193",63,2015
2015-06-16,ARI,A,LAA,L,1,4,2:42,N,"40,099",64,2015
2015-06-17,ARI,H,LAA,W,3,2,3:00,N,"28,481",65,2015
2015-06-18,ARI,H,LAA,L,1,7,2:36,D,"28,942",66,2015
2015-06-19,ARI,H,SDP,W,4,2,3:08,N,"27,394",67,2015
2015-06-20,ARI,H,SDP,L,1,8,2:40,N,"33,649",68,2015
2015-06-21,ARI,H,SDP,W,7,2,2:30,D,"35,590",69,2015
2015-06-23,ARI,A,COL,L,5,10,2:51,N,"30,079",70,2015
2015-06-24,ARI,A,COL,W,8,7,3:55,N,"30,367",71,2015
2015-06-25,ARI,A,COL,L,4,6,3:30,D,"30,568",72,2015
2015-06-26,ARI,A,SDP,L,2,4,2:42,N,"30,317",73,2015
2015-06-27,ARI,A,SDP,L,2,7,2:57,N,"40,717",74,2015
2015-06-28,ARI,A,SDP,W,6,4,2:31,D,"32,223",75,2015
2015-06-29,ARI,H,LAD,W,10,6,3:49,N,"24,215",76,2015
2015-06-30,ARI,H,LAD,L,4,6,4:09,N,"22,404",77,2015
2015-07-01,ARI,H,LAD,L,3,4,2:58,N,"20,277",78,2015
2015-07-02,ARI,H,COL,W,8,1,3:01,N,"16,861",79,2015
2015-07-03,ARI,H,COL,W-wo,4,3,3:36,N,"22,449",80,2015
2015-07-04,ARI,H,COL,W,7,3,3:18,N,"42,113",81,2015
2015-07-05,ARI,H,COL,L,4,6,3:32,D,"22,996",82,2015
2015-07-07,ARI,A,TEX,W,4,2,3:03,N,"30,955",83,2015
2015-07-08,ARI,A,TEX,W,7,4,3:26,N,"27,390",84,2015
2015-07-10,ARI,A,NYM,L,2,4,3:02,N,"28,243",85,2015
2015-07-11,ARI,A,NYM,L,2,4,2:25,D,"36,038",86,2015
2015-07-12,ARI,A,NYM,L,3,5,2:44,D,"28,259",87,2015
2015-07-17,ARI,H,SFG,L,5,6,5:11,N,"26,922",88,2015
2015-07-18,ARI,H,SFG,L,4,8,3:38,N,"37,609",89,2015
2015-07-19,ARI,H,SFG,L,1,2,3:05,D,"27,173",90,2015
2015-07-20,ARI,H,MIA,W,3,1,2:58,N,"17,668",91,2015
2015-07-21,ARI,H,MIA,L,0,3,2:55,N,"16,983",92,2015
2015-07-22,ARI,H,MIA,L,3,5,3:16,N,"15,857",93,2015
2015-07-23,ARI,H,MIL,W,8,3,3:12,N,"18,011",94,2015
2015-07-24,ARI,H,MIL,L,1,2,2:56,N,"29,956",95,2015
2015-07-25,ARI,H,MIL,W,2,0,2:55,N,"34,957",96,2015
2015-07-26,ARI,H,MIL,W,3,0,3:20,D,"24,216",97,2015
2015-07-27,ARI,A,SEA,W,4,3,3:27,N,"19,532",98,2015
2015-07-28,ARI,A,SEA,W,8,4,3:00,N,"25,106",99,2015
2015-07-29,ARI,A,SEA,W,8,2,2:59,D,"32,502",100,2015
2015-07-31,ARI,A,HOU,W,6,4,3:41,N,"34,720",101,2015
2015-08-01,ARI,A,HOU,L,2,9,3:12,N,"36,602",102,2015
2015-08-02,ARI,A,HOU,L,1,4,2:54,D,"33,871",103,2015
2015-08-03,ARI,A,WSN,W,6,4,2:42,N,"30,888",104,2015
2015-08-04,ARI,A,WSN,L,4,5,3:13,N,"26,112",105,2015
2015-08-05,ARI,A,WSN,W,11,4,3:56,N,"37,572",106,2015
2015-08-06,ARI,A,WSN,L,3,8,3:32,D,"32,838",107,2015
2015-08-07,ARI,H,CIN,W,2,0,2:33,N,"26,836",108,2015
2015-08-08,ARI,H,CIN,L,1,4,2:58,N,"40,512",109,2015
2015-08-09,ARI,H,CIN,W-wo,4,3,3:21,D,"28,116",110,2015
2015-08-10,ARI,H,PHI,W,13,3,3:01,N,"16,495",111,2015
2015-08-11,ARI,H,PHI,W,13,1,2:43,N,"19,836",112,2015
2015-08-12,ARI,H,PHI,L,6,7,3:34,D,"18,047",113,2015
2015-08-14,ARI,A,ATL,L,2,3,2:59,N,"31,917",114,2015
2015-08-15,ARI,A,ATL,W,8,4,3:00,N,"29,624",115,2015
2015-08-16,ARI,A,ATL,L-wo,1,2,3:13,D,"20,840",116,2015
2015-08-17,ARI,A,PIT,W,4,1,3:27,N,"27,365",117,2015
2015-08-18,ARI,A,PIT,L-wo,8,9,5:11,N,"24,975",118,2015
2015-08-19,ARI,A,PIT,L,1,4,2:51,N,"32,088",119,2015
2015-08-20,ARI,A,CIN,W,5,4,3:21,N,"22,063",120,2015
2015-08-21,ARI,A,CIN,W,6,3,3:02,N,"26,757",121,2015
2015-08-22,ARI,A,CIN,W,11,7,3:41,N,"36,216",122,2015
2015-08-23,ARI,A,CIN,W,4,0,2:53,D,"27,656",123,2015
2015-08-24,ARI,H,STL,L,3,5,3:19,N,"19,892",124,2015
2015-08-25,ARI,H,STL,L,1,9,3:10,N,"18,720",125,2015
2015-08-26,ARI,H,STL,L,1,3,2:35,N,"17,572",126,2015
2015-08-27,ARI,H,STL,L,3,5,3:24,N,"22,036",127,2015
2015-08-28,ARI,H,OAK,W,6,4,2:56,N,"30,059",128,2015
2015-08-29,ARI,H,OAK,L,2,3,2:40,N,"35,990",129,2015
2015-08-30,ARI,H,OAK,L,4,7,4:03,D,"29,576",130,2015
2015-08-31,ARI,A,COL,L-wo,4,5,3:30,N,"21,386",131,2015
2015-09-01,ARI,A,COL,W,6,4,3:02,D,"21,550",132,2015
2015-09-01,ARI,A,COL,W,5,3,3:08,N,"20,411",133,2015
2015-09-02,ARI,A,COL,L,4,9,3:38,N,"20,574",134,2015
2015-09-04,ARI,A,CHC,L,5,14,3:40,D,"36,132",135,2015
2015-09-05,ARI,A,CHC,L,0,2,2:34,D,"40,690",136,2015
2015-09-06,ARI,A,CHC,L,4,6,3:01,D,"41,183",137,2015
2015-09-07,ARI,H,SFG,W,6,1,2:54,D,"28,078",138,2015
2015-09-08,ARI,H,SFG,L,2,6,2:49,N,"18,683",139,2015
2015-09-09,ARI,H,SFG,W,2,1,2:49,N,"20,576",140,2015
2015-09-11,ARI,H,LAD,W,12,4,3:23,N,"35,615",141,2015
2015-09-12,ARI,H,LAD,L,5,9,3:52,N,"42,517",142,2015
2015-09-13,ARI,H,LAD,L,3,4,2:56,D,"36,501",143,2015
2015-09-14,ARI,H,SDP,L,3,10,3:29,N,"15,951",144,2015
2015-09-15,ARI,H,SDP,W,6,4,3:31,N,"17,531",145,2015
2015-09-16,ARI,H,SDP,L,3,4,2:50,N,"18,767",146,2015
2015-09-18,ARI,A,SFG,W,2,0,2:56,N,"41,346",147,2015
2015-09-19,ARI,A,SFG,W,6,0,3:02,D,"41,206",148,2015
2015-09-20,ARI,A,SFG,L,1,5,2:57,D,"41,390",149,2015
2015-09-21,ARI,A,LAD,W,8,4,3:23,N,"38,791",150,2015
2015-09-22,ARI,A,LAD,W,8,0,2:55,N,"41,419",151,2015
2015-09-23,ARI,A,LAD,L,1,4,2:32,N,"46,364",152,2015
2015-09-24,ARI,A,LAD,L,3,6,3:21,D,"38,234",153,2015
2015-09-25,ARI,A,SDP,W,6,3,2:57,N,"24,179",154,2015
2015-09-26,ARI,A,SDP,L,0,3,2:56,N,"32,186",155,2015
2015-09-27,ARI,A,SDP,W,4,2,3:24,D,"27,115",156,2015
2015-09-29,ARI,H,COL,W-wo,4,3,3:31,N,"21,526",157,2015
2015-09-30,ARI,H,COL,W,3,1,2:58,N,"18,529",158,2015
2015-10-01,ARI,H,COL,W,8,6,3:10,N,"20,826",159,2015
2015-10-02,ARI,H,HOU,L,5,21,3:52,N,"33,218",160,2015
2015-10-03,ARI,H,HOU,L,2,6,3:26,N,"37,687",161,2015
2015-10-04,ARI,H,HOU,W,5,3,3:19,D,"24,788",162,2015
2015-04-06,ATL,A,MIA,W,2,1,2:36,D,"36,969",1,2015
2015-04-07,ATL,A,MIA,W,12,2,3:14,N,"17,483",2,2015
2015-04-08,ATL,A,MIA,W,2,0,2:45,N,"16,127",3,2015
2015-04-10,ATL,H,NYM,W,5,3,3:01,N,"46,279",4,2015
2015-04-11,ATL,H,NYM,W,5,3,2:25,N,"36,056",5,2015
2015-04-12,ATL,H,NYM,L,3,4,2:37,D,"28,192",6,2015
2015-04-13,ATL,H,MIA,W,3,2,3:02,N,"13,417",7,2015
2015-04-14,ATL,H,MIA,L,2,8,3:00,N,"15,765",8,2015
2015-04-15,ATL,H,MIA,L,2,6,2:25,D,"18,342",9,2015
2015-04-17,ATL,A,TOR,W,8,7,3:09,N,"21,397",10,2015
2015-04-18,ATL,A,TOR,L-wo,5,6,2:41,D,"34,743",11,2015
2015-04-19,ATL,A,TOR,W,5,2,2:41,D,"44,794",12,2015
2015-04-21,ATL,A,NYM,L,1,7,2:41,N,"21,033",13,2015
2015-04-22,ATL,A,NYM,L,2,3,2:34,N,"20,971",14,2015
2015-04-23,ATL,A,NYM,L,3,6,3:18,D,"23,980",15,2015
2015-04-24,ATL,A,PHI,L-wo,0,1,2:34,N,"21,164",16,2015
2015-04-25,ATL,A,PHI,W,5,2,2:27,N,"24,748",17,2015
2015-04-26,ATL,A,PHI,L,4,5,2:38,D,"28,702",18,2015
2015-04-27,ATL,H,WSN,W,8,4,3:08,N,"16,658",19,2015
2015-04-28,ATL,H,WSN,L,12,13,3:26,N,"14,833",20,2015
2015-04-29,ATL,H,WSN,L,4,13,2:47,N,"12,595",21,2015
2015-04-30,ATL,H,CIN,L,1,5,2:22,N,"15,744",22,2015
2015-05-01,ATL,H,CIN,W,4,3,2:36,N,"30,153",23,2015
2015-05-02,ATL,H,CIN,L,4,8,2:34,N,"29,515",24,2015
2015-05-03,ATL,H,CIN,W,5,0,2:31,D,"30,073",25,2015
2015-05-04,ATL,H,PHI,L,2,5,3:08,N,"17,293",26,2015
2015-05-05,ATL,H,PHI,W,9,0,2:23,N,"14,451",27,2015
2015-05-06,ATL,H,PHI,W,7,5,3:07,N,"17,772",28,2015
2015-05-08,ATL,A,WSN,L,2,9,2:21,N,"31,288",29,2015
2015-05-09,ATL,A,WSN,L-wo,6,8,3:12,D,"39,193",30,2015
2015-05-10,ATL,A,WSN,L,4,5,2:51,D,"31,938",31,2015
2015-05-11,ATL,A,CIN,W,2,1,2:54,N,"19,881",32,2015
2015-05-12,ATL,A,CIN,L-wo,3,4,2:46,N,"23,780",33,2015
2015-05-13,ATL,A,CIN,L,1,5,2:06,N,"17,747",34,2015
2015-05-15,ATL,A,MIA,W,5,3,3:10,N,"18,334",35,2015
2015-05-16,ATL,A,MIA,W,5,3,2:59,D,"18,166",36,2015
2015-05-17,ATL,A,MIA,W,6,0,2:15,D,"23,075",37,2015
2015-05-19,ATL,H,TBR,L,3,5,2:43,N,"20,120",38,2015
2015-05-20,ATL,H,TBR,W,2,1,2:34,N,"24,549",39,2015
2015-05-21,ATL,H,MIL,W,10,1,2:49,N,"18,239",40,2015
2015-05-22,ATL,H,MIL,L,0,11,2:52,N,"25,774",41,2015
2015-05-23,ATL,H,MIL,W-wo,3,2,3:48,D,"33,223",42,2015
2015-05-24,ATL,H,MIL,W,2,1,2:47,D,"30,612",43,2015
2015-05-25,ATL,A,LAD,L,3,6,2:49,N,"44,680",44,2015
2015-05-26,ATL,A,LAD,L,0,8,2:38,N,"40,667",45,2015
2015-05-27,ATL,A,LAD,W,3,2,2:58,N,"37,837",46,2015
2015-05-28,ATL,A,SFG,L,0,7,2:31,N,"41,040",47,2015
2015-05-29,ATL,A,SFG,L,2,4,2:36,N,"41,311",48,2015
2015-05-30,ATL,A,SFG,W,8,0,2:51,N,"42,005",49,2015
2015-05-31,ATL,A,SFG,W,7,5,3:02,D,"41,553",50,2015
2015-06-01,ATL,A,ARI,W,8,1,2:45,N,"18,258",51,2015
2015-06-02,ATL,A,ARI,L,6,7,3:18,N,"17,101",52,2015
2015-06-03,ATL,A,ARI,L,8,9,3:17,D,"17,717",53,2015
2015-06-05,ATL,H,PIT,L,8,10,3:28,N,"27,508",54,2015
2015-06-06,ATL,H,PIT,W-wo,5,4,2:44,N,"33,268",55,2015
2015-06-07,ATL,H,PIT,L,0,3,2:50,D,"24,146",56,2015
2015-06-08,ATL,H,SDP,L,3,5,3:47,N,"21,458",57,2015
2015-06-09,ATL,H,SDP,W,6,5,3:15,N,"24,049",58,2015
2015-06-10,ATL,H,SDP,W,4,1,2:39,N,"21,465",59,2015
2015-06-11,ATL,H,SDP,L,4,6,3:42,D,"25,759",60,2015
2015-06-12,ATL,A,NYM,L,3,5,3:09,N,"32,554",61,2015
2015-06-13,ATL,A,NYM,W,5,3,3:39,D,"37,734",62,2015
2015-06-14,ATL,A,NYM,L,8,10,2:59,D,"36,340",63,2015
2015-06-15,ATL,A,BOS,W,4,2,2:54,N,"34,439",64,2015
2015-06-16,ATL,A,BOS,L,4,9,2:38,D,"35,662",65,2015
2015-06-17,ATL,H,BOS,W,5,2,3:09,N,"28,982",66,2015
2015-06-18,ATL,H,BOS,L,2,5,3:04,N,"31,783",67,2015
2015-06-19,ATL,H,NYM,W,2,1,2:29,N,"28,853",68,2015
2015-06-20,ATL,H,NYM,W,6,4,3:11,N,"40,733",69,2015
2015-06-21,ATL,H,NYM,W,1,0,2:26,N,"30,268",70,2015
2015-06-23,ATL,A,WSN,L,1,3,2:52,N,"28,344",71,2015
2015-06-24,ATL,A,WSN,L-wo,1,2,3:10,N,"36,141",72,2015
2015-06-25,ATL,A,WSN,L,0,7,2:36,D,"37,874",73,2015
2015-06-26,ATL,A,PIT,L-wo,2,3,3:10,N,"34,220",74,2015
2015-06-27,ATL,A,PIT,L,4,8,3:02,D,"36,417",75,2015
2015-06-28,ATL,A,PIT,W,2,1,2:46,D,"36,082",76,2015
2015-06-30,ATL,H,WSN,L,1,6,2:53,N,"23,961",77,2015
2015-07-01,ATL,H,WSN,W,4,1,2:39,N,"19,393",78,2015
2015-07-02,ATL,H,WSN,W-wo,2,1,2:33,N,"18,585",79,2015
2015-07-03,ATL,H,PHI,W,2,1,2:43,N,"33,090",80,2015
2015-07-04,ATL,H,PHI,W,9,5,3:04,N,"34,401",81,2015
2015-07-05,ATL,H,PHI,L,0,4,3:13,D,"18,763",82,2015
2015-07-06,ATL,A,MIL,W,5,3,3:30,N,"25,046",83,2015
2015-07-07,ATL,A,MIL,W,4,3,2:55,N,"33,388",84,2015
2015-07-08,ATL,A,MIL,L,5,6,3:00,D,"33,338",85,2015
2015-07-09,ATL,A,COL,L,3,5,3:13,N,"30,334",86,2015
2015-07-10,ATL,A,COL,L,3,5,2:47,N,"48,254",87,2015
2015-07-11,ATL,A,COL,L-wo,2,3,3:26,D,"40,620",88,2015
2015-07-12,ATL,A,COL,L,3,11,3:08,D,"37,047",89,2015
2015-07-17,ATL,H,CHC,W,4,2,3:04,N,"42,532",90,2015
2015-07-18,ATL,H,CHC,L,0,4,3:06,N,"45,758",91,2015
2015-07-19,ATL,H,CHC,L,1,4,3:18,N,"31,690",92,2015
2015-07-20,ATL,H,LAD,W,7,5,3:01,N,"24,072",93,2015
2015-07-21,ATL,H,LAD,W,4,3,3:20,N,"33,816",94,2015
2015-07-22,ATL,H,LAD,L,1,3,2:49,D,"24,112",95,2015
2015-07-24,ATL,A,STL,L,2,4,2:55,N,"44,778",96,2015
2015-07-25,ATL,A,STL,L,0,1,2:13,N,"45,862",97,2015
2015-07-26,ATL,A,STL,W,3,2,3:02,D,"44,780",98,2015
2015-07-27,ATL,A,BAL,L-wo,1,2,3:20,N,"26,256",99,2015
2015-07-28,ATL,A,BAL,L,3,7,2:53,N,"28,592",100,2015
2015-07-29,ATL,A,BAL,L,0,2,2:15,N,"29,328",101,2015
2015-07-30,ATL,A,PHI,L,1,4,2:59,N,"21,706",102,2015
2015-07-31,ATL,A,PHI,L,3,9,2:39,N,"29,290",103,2015
2015-08-01,ATL,A,PHI,L,2,12,2:52,N,"25,523",104,2015
2015-08-02,ATL,A,PHI,W,6,2,2:48,D,"24,361",105,2015
2015-08-03,ATL,H,SFG,W-wo,9,8,3:53,N,"23,428",106,2015
2015-08-04,ATL,H,SFG,L,3,8,3:15,N,"18,411",107,2015
2015-08-05,ATL,H,SFG,L,1,6,2:52,N,"17,444",108,2015
2015-08-06,ATL,H,MIA,W,9,8,3:18,N,"18,548",109,2015
2015-08-07,ATL,H,MIA,W,6,3,2:53,N,"22,769",110,2015
2015-08-08,ATL,H,MIA,W,7,2,2:51,N,"42,544",111,2015
2015-08-09,ATL,H,MIA,L,1,4,3:15,N,"24,610",112,2015
2015-08-11,ATL,A,TBR,L,0,2,2:02,N,"15,506",113,2015
2015-08-12,ATL,A,TBR,L,6,9,3:12,N,"16,337",114,2015
2015-08-14,ATL,H,ARI,W,3,2,2:59,N,"31,917",115,2015
2015-08-15,ATL,H,ARI,L,4,8,3:00,N,"29,624",116,2015
2015-08-16,ATL,H,ARI,W-wo,2,1,3:13,D,"20,840",117,2015
2015-08-17,ATL,A,SDP,L,3,5,2:58,N,"23,716",118,2015
2015-08-18,ATL,A,SDP,L,0,9,3:14,N,"28,395",119,2015
2015-08-19,ATL,A,SDP,L,2,3,2:43,D,"20,732",120,2015
2015-08-20,ATL,A,CHC,L,1,7,2:59,N,"34,633",121,2015
2015-08-21,ATL,A,CHC,L,3,5,2:53,D,"39,211",122,2015
2015-08-22,ATL,A,CHC,L,7,9,2:42,D,"41,196",123,2015
2015-08-23,ATL,A,CHC,L,3,9,2:57,D,"39,581",124,2015
2015-08-24,ATL,H,COL,W,5,3,2:43,N,"13,920",125,2015
2015-08-25,ATL,H,COL,L,1,5,3:08,N,"13,863",126,2015
2015-08-26,ATL,H,COL,L,3,6,3:18,N,"18,328",127,2015
2015-08-28,ATL,H,NYY,L,4,15,3:19,N,"35,546",128,2015
2015-08-29,ATL,H,NYY,L,1,3,3:04,N,"49,243",129,2015
2015-08-30,ATL,H,NYY,L,6,20,3:46,D,"33,093",130,2015
2015-08-31,ATL,H,MIA,L,0,4,2:54,N,"12,916",131,2015
2015-09-01,ATL,H,MIA,L,1,7,2:47,N,"16,386",132,2015
2015-09-02,ATL,H,MIA,L,3,7,3:05,D,"17,949",133,2015
2015-09-03,ATL,A,WSN,L,1,15,3:02,N,"28,627",134,2015
2015-09-04,ATL,A,WSN,L-wo,2,5,3:23,N,"23,536",135,2015
2015-09-05,ATL,A,WSN,L,2,8,3:07,N,"28,646",136,2015
2015-09-06,ATL,A,WSN,L,4,8,3:06,D,"29,281",137,2015
2015-09-07,ATL,A,PHI,W,7,2,2:32,N,"15,125",138,2015
2015-09-08,ATL,A,PHI,L,0,5,2:30,N,"15,610",139,2015
2015-09-09,ATL,A,PHI,W,8,1,2:52,N,"15,241",140,2015
2015-09-10,ATL,H,NYM,L,2,7,3:05,N,"22,640",141,2015
2015-09-11,ATL,H,NYM,L,1,5,3:10,N,"23,216",142,2015
2015-09-12,ATL,H,NYM,L,4,6,2:57,N,"27,380",143,2015
2015-09-13,ATL,H,NYM,L,7,10,3:38,D,"23,786",144,2015
2015-09-15,ATL,H,TOR,W-wo,3,2,2:45,N,"16,399",145,2015
2015-09-16,ATL,H,TOR,L,1,9,3:08,N,"15,178",146,2015
2015-09-17,ATL,H,TOR,L,0,5,2:36,N,"19,367",147,2015
2015-09-18,ATL,H,PHI,W,2,1,2:58,N,"22,525",148,2015
2015-09-19,ATL,H,PHI,W,2,1,2:21,N,"24,855",149,2015
2015-09-20,ATL,H,PHI,W-wo,2,1,2:33,D,"23,723",150,2015
2015-09-21,ATL,A,NYM,L,0,4,2:51,N,"26,362",151,2015
2015-09-22,ATL,A,NYM,W,6,2,2:56,N,"26,227",152,2015
2015-09-23,ATL,A,NYM,W,6,3,2:45,N,"28,931",153,2015
2015-09-25,ATL,A,MIA,L,11,12,3:19,N,"24,626",154,2015
2015-09-26,ATL,A,MIA,L,2,6,2:55,N,"24,449",155,2015
2015-09-27,ATL,A,MIA,L,5,9,2:50,D,"27,702",156,2015
2015-09-29,ATL,H,WSN,W,2,1,2:30,N,"15,272",157,2015
2015-09-30,ATL,H,WSN,W,2,0,2:12,N,"13,860",158,2015
2015-10-01,ATL,H,WSN,L,0,3,2:47,N,"37,790",159,2015
2015-10-02,ATL,H,STL,W,4,0,2:58,N,"24,481",160,2015
2015-10-04,ATL,H,STL,W,6,0,2:14,D,,161,2015
2015-10-04,ATL,H,STL,W,2,0,2:19,D,"31,441",162,2015
2015-04-06,BAL,A,TBR,W,6,2,3:01,D,"31,042",1,2015
2015-04-07,BAL,A,TBR,W,6,5,3:22,N,"13,906",2,2015
2015-04-08,BAL,A,TBR,L,0,2,3:00,N,"13,569",3,2015
2015-04-10,BAL,H,TOR,L,5,12,2:45,D,"45,936",4,2015
2015-04-11,BAL,H,TOR,W,7,1,2:34,N,"38,897",5,2015
2015-04-12,BAL,H,TOR,L,7,10,3:17,D,"32,522",6,2015
2015-04-13,BAL,H,NYY,L,5,6,3:09,N,"21,633",7,2015
2015-04-14,BAL,H,NYY,W,4,3,2:29,N,"19,283",8,2015
2015-04-15,BAL,H,NYY,W,7,5,3:14,N,"23,409",9,2015
2015-04-17,BAL,A,BOS,L-wo,2,3,3:13,N,"34,341",10,2015
2015-04-18,BAL,A,BOS,W,4,1,3:24,D,"37,655",11,2015
2015-04-19,BAL,A,BOS,W,8,3,3:14,D,"37,761",12,2015
2015-04-20,BAL,A,BOS,L,1,7,2:21,D,"36,829",13,2015
2015-04-21,BAL,A,TOR,L,6,13,2:53,N,"14,184",14,2015
2015-04-22,BAL,A,TOR,L,2,4,2:36,N,"15,606",15,2015
2015-04-23,BAL,A,TOR,L,6,7,2:36,N,"18,581",16,2015
2015-04-24,BAL,H,BOS,L,5,7,3:29,N,"37,359",17,2015
2015-04-25,BAL,H,BOS,W-wo,5,4,2:57,N,"36,757",18,2015
2015-04-26,BAL,H,BOS,W,18,7,3:13,D,"43,802",19,2015
2015-04-29,BAL,H,CHW,W,8,2,2:03,D,,20,2015
2015-05-01,BAL,A,TBR,L,0,2,2:19,N,"9,945",21,2015
2015-05-02,BAL,A,TBR,W,4,0,2:33,N,"12,789",22,2015
2015-05-03,BAL,A,TBR,W,4,2,2:44,D,"16,652",23,2015
2015-05-05,BAL,A,NYM,L,2,3,2:19,N,"20,534",24,2015
2015-05-06,BAL,A,NYM,L,1,5,2:52,N,"21,667",25,2015
2015-05-07,BAL,A,NYY,L,3,4,2:51,N,"39,816",26,2015
2015-05-08,BAL,A,NYY,L,4,5,3:05,N,"38,731",27,2015
2015-05-09,BAL,A,NYY,W,6,2,2:55,D,"41,280",28,2015
2015-05-10,BAL,A,NYY,L,2,6,3:03,D,"39,059",29,2015
2015-05-11,BAL,H,TOR,W,5,2,2:43,N,"20,468",30,2015
2015-05-12,BAL,H,TOR,L,2,10,2:37,N,"17,319",31,2015
2015-05-13,BAL,H,TOR,W,6,1,2:39,N,"24,654",32,2015
